time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-12-17T20:00:12.070Z,-6.954,154.6928,10.03,5,mb,,52,3.724,0.9,us,us2000821m,2016-12-17T21:02:22.040Z,"112km SW of Panguna, Papua New Guinea",earthquake,10.8,4.9,0.07,66,reviewed,us,us
2016-12-17T18:54:27.660Z,-6.3391,154.2934,43.64,5.1,mb,,58,3.008,1.1,us,us20008208,2016-12-17T19:12:33.040Z,"131km W of Panguna, Papua New Guinea",earthquake,8.9,7.8,0.05,130,reviewed,us,us
2016-12-17T18:49:28.180Z,-21.7904,-174.6121,10,5.2,mb,,59,5.156,1.99,us,us20008206,2016-12-17T19:44:12.040Z,"61km SE of `Ohonua, Tonga",earthquake,10.5,1.8,0.075,59,reviewed,us,us
2016-12-17T18:45:07.120Z,-29.2032,61.1319,15.07,5.1,mb,,62,9.368,0.75,us,us20008205,2016-12-17T19:05:31.040Z,Southwest Indian Ridge,earthquake,10.7,3.6,0.061,87,reviewed,us,us
2016-12-17T18:21:04.250Z,-6.5579,154.4451,88.55,5,mb,,87,3.269,1.24,us,us2000820d,2016-12-17T20:30:16.040Z,"118km WSW of Panguna, Papua New Guinea",earthquake,9.4,7.2,0.07,64,reviewed,us,us
2016-12-17T18:02:26.640Z,-6.0504,153.6349,51.05,5,mb,,74,2.357,0.9,us,us200081ze,2016-12-17T19:02:48.040Z,"187km SSE of Taron, Papua New Guinea",earthquake,8,6.7,0.069,67,reviewed,us,us
2016-12-17T17:46:42.120Z,-6.2169,153.8915,54.73,5,mb,,83,7.383,0.81,us,us200081z8,2016-12-17T18:07:58.040Z,"176km W of Panguna, Papua New Guinea",earthquake,4.8,7.8,0.068,69,reviewed,us,us
2016-12-17T17:25:56.360Z,34.0967,73.8357,20.43,4.6,mb,,83,0.648,1.15,us,us200081z0,2016-12-18T09:09:26.158Z,"13km NNE of Bagh, Pakistan",earthquake,8.3,6,0.085,41,reviewed,us,us
2016-12-17T17:16:50.410Z,-6.0688,153.9006,19.94,5.1,mb,,49,2.544,1.3,us,us200081yy,2016-12-17T17:43:32.040Z,"177km W of Panguna, Papua New Guinea",earthquake,7.6,5.7,0.08,51,reviewed,us,us
2016-12-17T16:55:15.700Z,-5.7089,154.4847,118.39,4.6,mb,,123,2.76,0.77,us,us200081yu,2016-12-17T17:18:05.040Z,"129km WNW of Arawa, Papua New Guinea",earthquake,5.1,8.2,0.109,25,reviewed,us,us
2016-12-17T16:14:00.810Z,-5.449,153.5379,66.37,5,mb,,163,1.853,0.72,us,us200081yj,2016-12-17T17:02:54.040Z,"122km SSE of Taron, Papua New Guinea",earthquake,12.3,9.3,0.124,21,reviewed,us,us
2016-12-17T16:12:13.550Z,15.1836,-93.4614,85.11,5,mb,,137,1.679,1.23,us,us200081yf,2016-12-17T17:27:31.618Z,"62km SSW of Pijijiapan, Mexico",earthquake,7.6,7.8,0.06,87,reviewed,us,us
2016-12-17T16:04:28.290Z,-6.5211,154.2665,95.64,4.6,mb,,122,3.121,1.12,us,us200081yg,2016-12-17T17:24:12.040Z,"136km W of Panguna, Papua New Guinea",earthquake,12.5,8.3,0.107,26,reviewed,us,us
2016-12-17T15:29:49.120Z,-5.7803,154.0537,52.12,5.3,mb,,115,2.457,0.81,us,us200081y8,2016-12-17T15:46:10.040Z,"169km WNW of Panguna, Papua New Guinea",earthquake,5.3,8.3,0.098,35,reviewed,us,us
2016-12-17T14:50:09.720Z,-6.3883,154.2384,89.52,5,mb,,119,3.005,1.12,us,us200081y0,2016-12-17T15:08:11.040Z,"138km W of Panguna, Papua New Guinea",earthquake,9.2,8.7,0.126,20,reviewed,us,us
2016-12-17T13:54:58.360Z,-6.2868,154.1466,63.49,5.1,mb,,164,2.869,0.73,us,us200081xu,2016-12-17T14:08:22.040Z,"148km W of Panguna, Papua New Guinea",earthquake,10.7,9.9,0.121,22,reviewed,us,us
2016-12-17T13:52:31.860Z,-6.4047,154.2451,69.85,4.7,mb,,177,3.021,0.52,us,us200081xt,2016-12-17T14:11:38.040Z,"137km W of Panguna, Papua New Guinea",earthquake,14.1,10.2,0.133,17,reviewed,us,us
2016-12-17T13:40:46.510Z,-5.2333,153.7681,71.55,5.3,mb,,116,1.904,0.8,us,us200081xr,2016-12-17T13:57:03.040Z,"117km SE of Taron, Papua New Guinea",earthquake,8.2,6.7,0.075,59,reviewed,us,us
2016-12-17T13:34:01.790Z,-6.2405,154.2903,77.54,4.8,mb,,123,2.937,1.11,us,us200081xn,2016-12-17T13:50:54.040Z,"132km W of Panguna, Papua New Guinea",earthquake,11.3,8.8,0.098,32,reviewed,us,us
2016-12-17T13:22:35.640Z,-6.3657,154.4539,51.16,5.4,mb,,45,3.141,1,us,us200081xl,2016-12-17T13:41:24.040Z,"114km W of Panguna, Papua New Guinea",earthquake,8.1,5,0.047,155,reviewed,us,us
2016-12-17T13:16:29.430Z,-4.5986,153.7202,102.76,5.1,mb,,87,1.603,0.88,us,us200081xk,2016-12-17T13:33:30.040Z,"77km E of Taron, Papua New Guinea",earthquake,9.7,7.1,0.074,60,reviewed,us,us
2016-12-17T12:58:37.600Z,-5.6431,153.8313,54.98,4.8,mb,,90,2.2,0.84,us,us200081xf,2016-12-17T13:15:04.040Z,"157km SE of Taron, Papua New Guinea",earthquake,9.8,8.2,0.094,35,reviewed,us,us
2016-12-17T12:52:39.690Z,-5.7219,153.7622,46.85,5.1,mb,,113,2.202,0.52,us,us200081xe,2016-12-17T13:08:11.040Z,"160km SSE of Taron, Papua New Guinea",earthquake,8.3,7.4,0.101,32,reviewed,us,us
2016-12-17T12:27:29.020Z,-6.1401,154.2979,55.9,5.2,mb,,21,2.875,0.76,us,us200081x3,2016-12-17T12:53:20.040Z,"132km W of Panguna, Papua New Guinea",earthquake,9,5.7,0.043,177,reviewed,us,us
2016-12-17T12:13:40.100Z,-6.1241,154.134,49.16,4.5,mb,,123,2.745,0.4,us,us200081x0,2016-12-17T12:33:31.040Z,"150km W of Panguna, Papua New Guinea",earthquake,10.4,7.9,0.156,12,reviewed,us,us
2016-12-17T12:01:08.810Z,-6.3447,154.4365,95.06,5.1,mb,,93,3.114,0.91,us,us200081wn,2016-12-17T12:18:49.040Z,"116km W of Panguna, Papua New Guinea",earthquake,9.3,5.7,0.096,35,reviewed,us,us
2016-12-17T11:44:51.020Z,-6.2788,154.5087,35,4.9,mb,,99,7.914,0.74,us,us200081wm,2016-12-17T12:38:40.040Z,"108km W of Panguna, Papua New Guinea",earthquake,15.2,2,0.136,17,reviewed,us,us
2016-12-17T11:27:40.260Z,-5.6934,153.9523,35.87,6.3,mww,,37,2.324,0.86,us,us200081w0,2016-12-17T23:38:08.503Z,"169km SE of Taron, Papua New Guinea",earthquake,8.5,4.8,,,reviewed,us,us
2016-12-17T11:22:39.910Z,-4.4294,153.5415,89.23,5.5,mb,,118,1.394,0.66,us,us200081vz,2016-12-17T13:28:11.800Z,"56km E of Taron, Papua New Guinea",earthquake,10.1,6.1,0.074,63,reviewed,us,us
2016-12-17T10:51:12.570Z,-4.5091,153.4495,103.19,7.9,mww,,17,1.32,1.06,us,us200081v8,2016-12-18T19:44:13.590Z,"46km E of Taron, Papua New Guinea",earthquake,7.4,4.3,,,reviewed,us,us
2016-12-17T09:30:38.270Z,51.5595,177.106,45.65,5,mb,,136,2.19,0.89,us,us200081uv,2016-12-17T13:45:53.251Z,"69km SSW of Kiska Volcano, Alaska",earthquake,9.3,7.4,0.038,227,reviewed,us,us
2016-12-17T07:23:30.810Z,-10.8715,-78.8089,35.04,5.1,mb,,88,2.224,0.93,us,us200081ui,2016-12-17T15:51:36.031Z,"109km WSW of Paramonga, Peru",earthquake,8,4.8,0.039,212,reviewed,us,us
2016-12-17T06:18:27.820Z,25.9286,128.4993,10,4.9,mb,,66,0.926,0.7,us,us200081u0,2016-12-17T11:25:23.292Z,"77km SE of Haebaru, Japan",earthquake,6.2,1.9,0.068,69,reviewed,us,us
